Temp,Time,Molarity,H?O,DES,EtOH,Predicted y
120,2,50,1,1,1,0
120,2,50,2,1,1,0
120,2,50,1,2,1,0
120,2,50,1,1,2,0
120,2,60,1,1,1,0
120,2,60,2,1,1,0
120,2,60,1,2,1,0
120,2,60,1,1,2,0
120,2,70,1,1,1,0
120,2,70,2,1,1,0
120,2,70,1,2,1,0
120,2,70,1,1,2,0
120,2,80,1,1,1,0
120,2,80,2,1,1,0
120,2,80,1,2,1,0
120,2,80,1,1,2,0.004523033
120,2,90,1,1,1,0
120,2,90,2,1,1,0
120,2,90,1,2,1,0
120,2,90,1,1,2,0.004523033
120,2,100,1,1,1,0
120,2,100,2,1,1,0
120,2,100,1,2,1,0
120,2,100,1,1,2,0.004523033
120,2,110,1,1,1,0
120,2,110,2,1,1,0
120,2,110,1,2,1,0
120,2,110,1,1,2,0.004523033
120,2,120,1,1,1,0
120,2,120,2,1,1,0
120,2,120,1,2,1,0
120,2,120,1,1,2,0.004523033
120,2,130,1,1,1,0
120,2,130,2,1,1,0
120,2,130,1,2,1,0
120,2,130,1,1,2,0.004523033
120,2,140,1,1,1,0
120,2,140,2,1,1,0
120,2,140,1,2,1,0
120,2,140,1,1,2,0.004523033
120,2,150,1,1,1,0
120,2,150,2,1,1,0
120,2,150,1,2,1,0
120,2,150,1,1,2,0.004523033
120,2,160,1,1,1,0.004746548
120,2,160,2,1,1,0
120,2,160,1,2,1,-0.007825168
120,2,160,1,1,2,0.00511972
120,2,170,1,1,1,0.004746548
120,2,170,2,1,1,0
120,2,170,1,2,1,-0.007825168
120,2,170,1,1,2,0.00511972
120,2,180,1,1,1,0.004746548
120,2,180,2,1,1,0
120,2,180,1,2,1,-0.007825168
120,2,180,1,1,2,0.00511972
120,2,190,1,1,1,0.004746548
120,2,190,2,1,1,0
120,2,190,1,2,1,-0.007825168
120,2,190,1,1,2,0.00511972
120,2,200,1,1,1,0.004746548
120,2,200,2,1,1,0
120,2,200,1,2,1,-0.007825168
120,2,200,1,1,2,0.00511972
120,2,210,1,1,1,0.004746548
120,2,210,2,1,1,0
120,2,210,1,2,1,-0.007825168
