Temperature(℃),Time(h),GMP Concentration(mM),H2O,DES,EtOH,CD Wavelength(nm) ,CD,CD=0,*-10,*+10,cotton effect,CPL Wavelength(nm) ,CPL max,g(lum)-CPL max, Dcmax Wavelength(nm),DC max(V),g(lum)-DC max
160,4,200,1,2,1,318,-119.705,303,54.8294,-110.677,2,416,65.731,0.0115666,434.8,0.486128,0.00672022
160,4,200,1,2,1,318,-119.705,303,54.8294,-110.677,2,422.8,98.0317,0.0160737,438,0.478359,0.0117365
160,4,200,1,2,1,318,-119.705,303,54.8294,-110.677,2,415.8,44.9592,0.00841721,436.4,0.474865,0.00448482
,,,,,,,,,,,,,,,,,
160,4,300,1,2,1,303.4,256.199,342.6,46.282,-33.4334,1,439.4,423.103,0.0631946,446.6,0.479386,0.0585753
160,4,300,1,2,1,303.4,256.199,342.6,46.282,-33.4334,1,437.8,390.934,0.0576299,444.2,0.484251,0.0548493
160,4,300,1,2,1,303.4,256.199,342.6,46.282,-33.4334,1,430.6,169.894,0.0257605,440.6,0.492429,0.0207158
160,4,300,1,2,1,303.4,256.199,342.6,46.282,-33.4334,1,433,235.701,0.0357137,442.2,0.483329,0.0319246
,,,,,,,,,,,,,,,,,
160,4,400,1,2,1,314,361.928,270.4,-64.7735,48.8762,1,453.8,-19.3096,-0.00288806,441.8,0.500934,-0.00209249
160,4,400,1,2,1,314,361.928,270.4,-64.7735,48.8762,1,454.2,-18.5922,-0.00282214,442.6,0.491693,-0.00125446
160,4,400,1,2,1,314,361.928,270.4,-64.7735,48.8762,1,456.4,19.2642,0.00292055,444.8,0.488088,0.00212038
160,4,400,1,2,1,314,361.928,270.4,-64.7735,48.8762,1,447,15.1839,0.00217999,445.2,0.487033,0.00192987
,,,,,,,,,,,,,,,,,
160,4,500,1,2,1,313.6,237.999,287.6,-24.5418,64.1473,1,437,-62.1424,-0.0103299,449.2,0.465346,-0.00759449
160,4,500,1,2,1,313.6,237.999,287.6,-24.5418,64.1473,1,443.2,-78.6206,-0.0116541,449.4,0.479614,-0.00970922
160,4,500,1,2,1,313.6,237.999,287.6,-24.5418,64.1473,1,435.4,-42.274,-0.00676162,449.4,0.495431,-0.00456827
160,4,500,1,2,1,313.6,237.999,287.6,-24.5418,64.1473,1,436.4,-62.0009,-0.00962092,449.6,0.498551,-0.0075603
,,,,,,,,,,,,,,,,,
160,4,50,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
160,4,100,1,1,2,301.6,16.8808,374.4,1.80002,-1.77475,1,432.6,606.927,0.0787116,436.8,0.541402,0.0772793
160,4,100,1,1,2,301.6,16.8808,374.4,1.80002,-1.77475,1,433.8,551.619,0.0779428,434.8,0.49433,0.0775392
160,4,100,1,1,2,301.6,16.8808,374.4,1.80002,-1.77475,1,432.2,673.973,0.0907384,437,0.522722,0.0889762
160,4,100,1,1,2,301.6,16.8808,374.4,1.80002,-1.77475,1,439.4,732.603,0.106947,439.4,0.478229,0.106947
160,4,100,1,1,2,301.6,16.8808,374.4,1.80002,-1.77475,1,437.2,702.2921,0.0997316,438,0.491854,0.0994723
,,,,,,,,,,,,,,,,,
160,4,200,1,1,2,319.4,886.049,272.2,-128.186,119.493,1,454.4,115.085,0.0166165,440.6,0.525242,0.012876
160,4,200,1,1,2,319.4,886.049,272.2,-128.186,119.493,1,455.4,98.9969,0.0153237,440.8,0.495066,0.0124953
160,4,200,1,1,2,319.4,886.049,272.2,-128.186,119.493,1,459,109.38,0.0166112,445.4,0.496161,0.0130675
160,4,200,1,1,2,319.4,886.049,272.2,-128.186,119.493,1,448.8,84.6031,0.0122565,440.6,0.499631,0.010302
,,,,,,,,,,,,,,,,,
160,4,300,1,1,2,333.6,49.761,287.6,-3.14473,6.27923,1,443.8,-78.727,-0.0110208,443.6,0.498835,-0.0110133
160,4,300,1,1,2,333.6,49.761,287.6,-3.14473,6.27923,1,441.4,-52.8867,-0.00747792,441.6,0.493769,-0.00734473
160,4,300,1,1,2,333.6,49.761,287.6,-3.14473,6.27923,1,438.2,-96.1613,-0.0147115,447.6,0.47706,-0.0127458
160,4,300,1,1,2,333.6,49.761,287.6,-3.14473,6.27923,1,442.4,-90.8213,-0.0131597,448.6,0.488372,-0.0114499
,,,,,,,,,,,,,,,,,
160,4,400,1,1,2,322.4,417.283,289.6,-12.7991,38.5757,1,442.4,-71.8977,-0.00968921,443.8,0.51887,-0.00915502
160,4,400,1,1,2,322.4,417.283,289.6,-12.7991,38.5757,1,449.6,-82.6329,-0.0258104,449.6,0.447017,-0.0129052
160,4,400,1,1,2,322.4,417.283,289.6,-12.7991,38.5757,1,442.8,-70.4457,-0.00974368,445.2,0.5068,-0.00878888
160,4,400,1,1,2,322.4,417.283,289.6,-12.7991,38.5757,1,442.2,-65.3494,-0.0090746,444.4,0.504792,-0.00818356
,,,,,,,,,,,,,,,,,
160,4,500,1,1,2,315.4,267.06,284.8,-16.674,39.4127,1,459.2,-69.9637,-0.0110294,457.4,0.443451,-0.00875239
160,4,500,1,1,2,315.4,267.06,284.8,-16.674,39.4127,1,449.2,-78.4829,-0.0121069,457,0.467654,-0.00654323
160,4,500,1,1,2,315.4,267.06,284.8,-16.674,39.4127,1,441.8,-68.2704,-0.0104694,454.4,0.4929,-0.00879455
160,4,500,1,1,2,315.4,267.06,284.8,-16.674,39.4127,1,443.8,-74.7178,-0.0102463,447.8,0.511457,-0.00822104
,,,,,,,,,,,,,,,,,
140,4,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
140,4,100,1,1,1,300.8,482.242,0,0,0,1,446.4,-30.0626,-0.00459059,434.2,0.501273,-0.00347361
140,4,100,1,1,1,300.8,482.242,0,0,0,1,457.4,-16.4733,-0.00289719,434.6,0.504334,-0.00179954
140,4,100,1,1,1,300.8,482.242,0,0,0,1,444,-48.1895,-0.00729079,433.2,0.497804,-0.00343503
140,4,100,1,1,1,300.8,482.242,0,0,0,1,436.2,-29.9358,-0.00450641,434.6,0.464918,-0.00300537
,,,,,,,,,,,,,,,,,
140,4,200,1,1,1,288,501.645,314.4,300.649,-85.048,1,432.4,397.419,0.0537071,436,0.519604,0.0532064
140,4,200,1,1,1,288,501.645,314.4,300.649,-85.048,1,435.8,377.2,0.05656,435.2,0.462775,0.0567204
140,4,200,1,1,1,288,501.645,314.4,300.649,-85.048,1,437,553.133,0.0789165,439.4,0.489902,0.0786264
140,4,200,1,1,1,288,501.645,314.4,300.649,-85.048,1,443,550.657,0.0786915,439,0.492241,0.077811
140,4,200,1,1,1,288,501.645,314.4,300.649,-85.048,1,436.8,524.019,0.0751628,437,0.48673,0.075028
,,,,,,,,,,,,,,,,,
140,4,300,1,1,1,309,447.294,268.6,-86.6235,108.171,1,449.4,100.424,0.0142714,439.6,0.509283,0.0118549
140,4,300,1,1,1,309,447.294,268.6,-86.6235,108.171,1,456.4,97.5877,0.015427,437,0.496386,0.011592
140,4,300,1,1,1,309,447.294,268.6,-86.6235,108.171,1,439.2,95.1742,0.0133116,435.2,0.503076,0.0120107
140,4,300,1,1,1,309,447.294,268.6,-86.6235,108.171,1,443.6,99.9322,0.0143638,435,0.500197,0.0126622
,,,,,,,,,,,,,,,,,
140,4,400,1,1,1,417.2,1327.87,272,-118.836,95.4592,1,442.4,-61.4416,-0.0085398,444.4,0.503401,-0.0074713
140,4,400,1,1,1,417.2,1327.87,272,-118.836,95.4592,1,436.4,-49.3236,-0.00725388,443.8,0.487704,-0.00579477
140,4,400,1,1,1,417.2,1327.87,272,-118.836,95.4592,1,425.8,-41.9888,-0.00685029,441.4,0.497165,-0.00497709
140,4,400,1,1,1,417.2,1327.87,272,-118.836,95.4592,1,437.4,-50.9351,-0.00731043,442.8,0.4917,-0.00652848
,,,,,,,,,,,,,,,,,
140,4,500,1,1,1,493.8,1291,300.2,-103.186,201.763,1,422.2,-36.7702,-0.00619305,443,0.512551,-0.00358783
140,4,500,1,1,1,493.8,1291,300.2,-103.186,201.763,1,443.4,-57.4503,-0.00815568,443.4,0.491777,-0.00815568
140,4,500,1,1,1,493.8,1291,300.2,-103.186,201.763,1,432.6,-27.8773,-0.00387478,437.6,0.509881,-0.00305532
140,4,500,1,1,1,493.8,1291,300.2,-103.186,201.763,1,425.2,-36.9289,-0.00562112,437,0.500113,-0.0037651
,,,,,,,,,,,,,,,,,
140,4,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
