Temperature(℃),Time(h),GMP Concentration(mM),H2O,DES,EtOH,CD Wavelength(nm) ,CD,CD=0,*-10,*+10,cotton effect,CPL Wavelength(nm) ,CPL max,g(lum)-CPL max, Dcmax Wavelength(nm),DC max(V),g(lum)-DC max
120,4,300,1,2,1,,,,,,,430.4,-81.9225,-0.0114155,433.8,0.504338,-0.0104882
120,4,300,1,2,1,,,,,,,433,-86.0137,-0.0119908,435.4,0.502383,-0.0109064
120,4,300,1,2,1,,,,,,,434.8,-75.5162,-0.010553,434.8,0.499577,-0.010553
120,4,300,1,2,1,,,,,,,432,-81.4719,-0.0113375,433.6,0.502726,-0.0105313
,,,,,,,,,,,,,,,,,
120,4,400,1,2,1,,,,,,,434.6,-210.909,-0.0295145,436.6,0.500216,-0.028529
120,4,400,1,2,1,,,,,,,440.4,-163.765,-0.0229051,437.6,0.501627,-0.022097
120,4,400,1,2,1,,,,,,,437.8,-182.914,-0.0264034,437.8,0.483642,-0.0264034
120,4,400,1,2,1,,,,,,,442.6,-144.377,-0.0206297,436.8,0.497587,-0.0186832
,,,,,,,,,,,,,,,,,
120,4,500,1,2,1,,,,,,,448.8,-27.3006,-0.0040778,437.8,0.491096,-0.00263821
120,4,500,1,2,1,,,,,,,454,-97.8587,-0.0156389,436.8,0.493564,-0.0117916
120,4,500,1,2,1,,,,,,,426.8,-23.7705,-0.00350511,435.8,0.493983,-0.00228815
120,4,500,1,2,1,,,,,,,466.6,-20.4894,-0.00402309,434.8,0.496734,-0.000223166
,,,,,,,,,,,,,,,,,
120,4,50,1,1,2,,,,,,,433.8,67.2446,0.0128284,432,0.36753,0.00908392
120,4,50,1,1,2,,,,,,,425,45.5225,0.00763029,434.8,0.444528,0.001355
,,,,,,,,,,,,,,,,,
120,4,100,1,1,2,,,,,,,425.8,17.1405,0.002453,431.6,0.502263,0.000220165
120,4,100,1,1,2,,,,,,,422.6,22.5708,0.00362775,433.2,0.470398,-0.001323
120,4,100,1,1,2,,,,,,,442.2,34.7818,0.00534939,434.2,0.482374,0.00275002
,,,,,,,,,,,,,,,,,
120,4,200,1,1,2,,,,,,,431.4,6.96992,0.000996165,429.6,0.48902,0.00068411
120,4,200,1,1,2,,,,,,,422,7.93086,0.00113034,430.2,0.502493,-0.000132876
120,4,200,1,1,2,,,,,,,433.4,5.62977,0.000776336,431,0.508221,-0.000103634
,,,,,,,,,,,,,,,,,
120,4,300,1,1,2,,,,,,,444,9.31536,0.0014097,431.4,0.492232,0.000153405
120,4,300,1,1,2,,,,,,,428.4,9.26259,0.00132815,431.6,0.488119,0.00108685
120,4,300,1,1,2,,,,,,,446,6.7486,0.00102838,432,0.497692,0.000323977
,,,,,,,,,,,,,,,,,
120,4,400,1,1,2,,,,,,,429.2,20.8253,0.00291325,429.6,0.499297,0.00274692
120,4,400,1,1,2,,,,,,,439.8,22.139,0.00313007,430.2,0.511972,0.00247236
120,4,400,1,1,2,,,,,,,433.2,24.8624,0.0034866,430.6,0.498657,0.00262971
120,4,400,1,1,2,,,,,,,438.4,19.8516,0.00282307,430.4,0.503321,0.00205835
,,,,,,,,,,,,,,,,,
120,4,500,1,1,2,,,,,,,431.2,22.2389,0.00309844,431.2,0.501079,0.00309844
120,4,500,1,1,2,,,,,,,433.6,26.8016,0.00377727,431.4,0.496393,0.00317102
120,4,500,1,1,2,,,,,,,442,26.5586,0.00376663,430.8,0.516,0.00298219
120,4,500,1,1,2,,,,,,,427.6,27.9954,0.00392667,432.2,0.499837,0.00265639
,,,,,,,,,,,,,,,,,
180,4,50,1,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,100,1,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,200,1,1,1,,,,,,,466,372.938,0.12943,470,0.20238,0.127019
180,4,200,1,1,1,,,,,,,474,273.892,0.12112,474,0.15787,0.12112
180,4,200,1,1,1,,,,,,,469.2,339.443,0.116427,471.2,0.203913,0.111483
180,4,200,1,1,1,,,,,,,461.6,409.827,0.117033,469.4,0.249847,0.102722
,,,,,,,,,,,,,,,,,
180,4,300,1,1,1,,,,,,,471.6,101.786,0.0533363,481.2,0.136682,0.0433363
180,4,300,1,1,1,,,,,,,476.2,180.261,0.0413431,467.6,0.309477,0.0316228
180,4,300,1,1,1,,,,,,,479.8,128.007,0.0458083,477.4,0.195478,0.0411637
180,4,300,1,1,1,,,,,,,491.8,81.1261,0.0503935,489.2,0.11264,0.0409316
,,,,,,,,,,,,,,,,,
180,4,400,1,1,1,,,,,,,491.2,53.7889,0.011555,466,0.38641,0.00527776
180,4,400,1,1,1,,,,,,,483.4,51.3935,0.0110919,466.6,0.352716,0.0049129
180,4,400,1,1,1,,,,,,,478.2,38.1117,0.017172,471,0.156913,0.00535405
180,4,400,1,1,1,,,,,,,476.6,26.1986,0.0116817,470.6,0.158707,0.00827041
,,,,,,,,,,,,,,,,,
180,4,500,1,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,50,2,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,100,2,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,200,2,1,1,,,,,,,481.6,15.3478,0.0602252,500.6,0.0192345,0.0198937
180,4,200,2,1,1,,,,,,,505,12.8705,0.0468454,504.2,0.0192569,0.0457142
180,4,200,2,1,1,,,,,,,476.4,18.5731,0.0624563,505.4,0.0234737,0.0327367
180,4,200,2,1,1,,,,,,,506.2,15.7088,0.0467271,504.8,0.0235246,0.0370711
,,,,,,,,,,,,,,,,,
180,4,300,2,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,400,2,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,500,2,1,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,50,1,2,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,100,1,2,1,,,,,,,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
180,4,200,1,2,1,,,,,,,,,,,,
